id,study,year,source_type,input_modality,task,method,reported_metrics,verification_level,url,doi,comparison_note
OURS,Posture Detection App current external result,2026,local project,Webcam/video MediaPipe Pose landmarks,Binary correct/incorrect on 1697 external frames,ANN classifier and rule-based baseline,"ANN acc=79.316%; precision=94.599%; recall=65.985%; F1=77.743%; best threshold F1=79.903%; rule acc=56.629%; McNemar p=2.19314e-60",local artifacts,local reports,,Same project scope; still frame-level and needs video-wise/person-wise validation.
L01,"Estrada, Vea, and Devaraj - Modelling Proper and Improper Sitting Posture...",2023,article,Smartphone cameras and MediaPipe features,Proper/improper sitting posture in work-from-home setting,Small-scale CNN / ML pose-feature pipeline,"Left/right camera accuracy=85.18%/92.07%; kappa=0.691/0.838; category best left elbow=98.003%; category best right wrist=99.5425%",indexed official MDPI page and SSRN abstract,https://www.mdpi.com/2076-3417/13/9/5402,10.3390/app13095402,Closest camera/MediaPipe comparison but different camera setup and annotation protocol.
L02,"Kulikajevas, Maskeliunas, and Damasevicius - Detection of sitting posture using hierarchical image composition and deep learning",2021,article,RGB-D frame sequences,Sitting posture recognition with hierarchy,Deep recurrent hierarchical network based on MobileNetV2,"Headline base-posture accuracy=91.47% at 10 fps; sensitivity=0.9185; specificity=0.9595; F-score=0.9132; kappa=0.8081; fine six-label accuracy=68.33%",PubMed/PMC indexed full-text snippets,https://pubmed.ncbi.nlm.nih.gov/33834109/,10.7717/peerj-cs.442,Strong vision baseline but uses RGB-D and hierarchy rather than webcam landmarks only.
L03,"Tsai, Chu, and Lee - An Automated Sitting Posture Recognition System Utilizing Pressure Sensors",2023,article,Chair pressure sensors,10 sitting postures,Classical ML classifiers,"SVM=99.18%; KNN=98.86%; decision tree=97.83%; random forest=98.41%; logistic regression=98.19%; validation involved 20 participants and 12000 samples",PMC/MDPI indexed full-text snippets,https://www.mdpi.com/1424-8220/23/13/5894,10.3390/s23135894,High accuracy but sensor-based and controlled.
L04,"Luna-Perejon et al. - IoT Device for Sitting Posture Classification Using Artificial Neural Networks",2021,article,FSR pressure sensors on chair,Seven sitting postures,Artificial neural network,"Best ANN accuracy=81.00%; specificity=96.40%; precision=82.14%; sensitivity=80.96%; F1=80.24%; AUC=0.9672",full MDPI page extracted,https://www.mdpi.com/2079-9292/10/15/1825,10.3390/electronics10151825,Metric range similar to ours but physical sensor modality and multi-class labels.
L05,"Feradov, Markova, and Ganchev - Automated Detection of Improper Sitting Postures...",2022,article,Motion-capture sensors / accelerometers,Improper sitting posture detection,Hjorth features with DT/SVM/SVM-RBF/KNN,"Highest reported table value=98.4% with linear SVM on arm-sensor AMC features; SVM classifier mean on arm table=94.0%",full MDPI page extracted,https://www.mdpi.com/2073-431X/11/7/116,10.3390/computers11070116,Sensor-rich baseline; not low-cost webcam.
L06,"Chaikhamwang et al. - An Intelligent Platform for Behavior Modification and Office Syndrome Risk Reduction...",2025,article,MediaPipe and computer vision,Office syndrome platform with posture/eye-distance/sitting-duration monitoring,Real-time detection and behavior feedback platform,"Eye-distance accuracy=95.2%; long-sitting alerts=92.5%; proximity alerts=90.1%",full IJACSA page extracted,https://thesai.org/Publications/ViewPaper?Code=IJACSA&Issue=10&SerialNo=38&Volume=16,10.14569/IJACSA.2025.0161038,System-level alert comparison; useful for TPRI/logging discussion.
L07,ALIGN: An AI-Driven IoT Framework for Real-Time Sitting Posture Detection,2026,article,MediaPipe pose landmarks and video stream,Binary correct/incorrect posture on IoT/single-board-computer setup,KNN/SVC/MLP/ResNet52/DenseNet121,"KNN=98.74%; SVC=96.64%; MLP=97.17%; ResNet52=94.37%; DenseNet121=81.53%",indexed official MDPI page; full extraction blocked,https://www.mdpi.com/1999-4893/19/1/48,,Very close conceptually but must verify full text before final claim.
L08,"Nadeem et al. - Sitting Posture Recognition Systems: Comprehensive Literature Review and Analysis",2024,review article,Multiple sensing technologies,Systematic review of sitting posture recognition systems,Literature review,"Selected 120 articles: 70 journal articles, 49 conference proceedings, 1 book chapter",full MDPI page extracted,https://www.mdpi.com/2076-3417/14/18/8557,10.3390/app14188557,Use for related-work framing; not a direct baseline.

