source_video,correct,false_negative,false_positive
dataset\external_videos\correct\P01_correct_001.mp4,118,0,0
dataset\external_videos\correct\P01_correct_002.mp4,173,0,0
dataset\external_videos\correct\P01_correct_003.mp4,140,0,3
dataset\external_videos\correct\P01_correct_004.mp4,90,0,32
dataset\external_videos\correct\P01_correct_005.mp4,212,0,0
dataset\external_videos\incorrect\P01_incorrect_001.mp4,142,13,0
dataset\external_videos\incorrect\P01_incorrect_002.mp4,162,1,0
dataset\external_videos\incorrect\P01_incorrect_003.mp4,193,16,0
dataset\external_videos\incorrect\P01_incorrect_004.mp4,7,232,0
dataset\external_videos\incorrect\P01_incorrect_005.mp4,109,54,0
