source_video,label,rows
dataset\external_videos\correct\P01_correct_001.mp4,0,118
dataset\external_videos\correct\P01_correct_002.mp4,0,173
dataset\external_videos\correct\P01_correct_003.mp4,0,143
dataset\external_videos\correct\P01_correct_004.mp4,0,122
dataset\external_videos\correct\P01_correct_005.mp4,0,212
dataset\external_videos\incorrect\P01_incorrect_001.mp4,1,155
dataset\external_videos\incorrect\P01_incorrect_002.mp4,1,163
dataset\external_videos\incorrect\P01_incorrect_003.mp4,1,209
dataset\external_videos\incorrect\P01_incorrect_004.mp4,1,239
dataset\external_videos\incorrect\P01_incorrect_005.mp4,1,163
